#R[cm]          y[R_S0]         x        tau
5.04203412e+15  0.0061618695  1  1.95205212e-06
5.05779047e+15  0.00618112535  1  1.95205212e-06
5.07354683e+15  0.00620038119  1  1.95205212e-06
5.08930319e+15  0.00621963703  1  1.95205212e-06
5.10505954e+15  0.00623889287  0.999999985  1.9595027e-06
5.1208159e+15  0.00625814871  0.999999985  1.96695328e-06
5.13657226e+15  0.00627740456  0.999999985  1.97440386e-06
5.15232861e+15  0.0062966604  1  1.97440386e-06
5.16808497e+15  0.00631591624  1  1.97440386e-06
5.18384133e+15  0.00633517208  0.999999985  1.98185444e-06
5.19959768e+15  0.00635442793  1  1.98185444e-06
5.21535404e+15  0.00637368377  1  1.98185444e-06
5.2311104e+15  0.00639293961  1  1.98185444e-06
5.24686675e+15  0.00641219545  1  1.98185444e-06
5.26262311e+15  0.00643145129  0.999999985  1.98930502e-06
5.27837947e+15  0.00645070714  1  1.98930502e-06
5.29413582e+15  0.00646996298  1  1.98930502e-06
5.30989218e+15  0.00648921882  1  1.98930502e-06
5.32564854e+15  0.00650847466  1  1.98930502e-06
5.34140489e+15  0.00652773051  0.999999985  1.9967556e-06
5.35716125e+15  0.00654698635  0.999999985  2.00420618e-06
5.37291761e+15  0.00656624219  0.999999985  2.01165676e-06
5.38867396e+15  0.00658549803  0.999999985  2.01910734e-06
5.40443032e+15  0.00660475387  1  2.01910734e-06
5.42018668e+15  0.00662400972  1  2.01910734e-06
5.43594303e+15  0.00664326556  0.999999985  2.02655792e-06
5.45169939e+15  0.0066625214  1  2.02655792e-06
5.46745575e+15  0.00668177724  1  2.02655792e-06
5.4832121e+15  0.00670103309  0.999999985  2.0340085e-06
5.49896846e+15  0.00672028893  1  2.0340085e-06
5.51472482e+15  0.00673954477  0.999999985  2.04145908e-06
5.53048117e+15  0.00675880061  1  2.04145908e-06
5.54623753e+15  0.00677805645  1  2.04145908e-06
5.56199389e+15  0.0067973123  1  2.04145908e-06
5.57775024e+15  0.00681656814  1  2.04145908e-06
5.5935066e+15  0.00683582398  0.999999985  2.04890966e-06
5.60926296e+15  0.00685507982  1  2.04890966e-06
5.62501931e+15  0.00687433567  1  2.04890966e-06
5.64077567e+15  0.00689359151  0.999999985  2.05636024e-06
5.65653202e+15  0.00691284735  1  2.05636024e-06
5.67228838e+15  0.00693210319  1  2.05636024e-06
5.68804474e+15  0.00695135903  0.999999985  2.06381083e-06
5.70380109e+15  0.00697061488  1  2.06381083e-06
5.71955745e+15  0.00698987072  1  2.06381083e-06
5.73531381e+15  0.00700912656  1  2.06381083e-06
5.75107016e+15  0.0070283824  1  2.06381083e-06
5.76682652e+15  0.00704763824  0.999999985  2.07126141e-06
5.78258288e+15  0.00706689409  1  2.07126141e-06
5.79833923e+15  0.00708614993  1  2.07126141e-06
5.81409559e+15  0.00710540577  0.999999985  2.07871199e-06
5.82985195e+15  0.00712466161  1  2.07871199e-06
5.8456083e+15  0.00714391746  1  2.07871199e-06
5.86136466e+15  0.0071631733  1  2.07871199e-06
5.87712102e+15  0.00718242914  0.999999985  2.08616257e-06
5.89287737e+15  0.00720168498  1  2.08616257e-06
5.90863373e+15  0.00722094082  1  2.08616257e-06
5.92439009e+15  0.00724019667  1  2.08616257e-06
5.94014644e+15  0.00725945251  1  2.08616257e-06
5.9559028e+15  0.00727870835  1  2.08616257e-06
5.97165916e+15  0.00729796419  1  2.08616257e-06
5.98741551e+15  0.00731722004  1  2.08616257e-06
6.00317187e+15  0.00733647588  1  2.08616257e-06
6.01892823e+15  0.00735573172  1  2.08616257e-06
6.03468458e+15  0.00737498756  1  2.08616257e-06
6.05044094e+15  0.0073942434  0.999999985  2.09361315e-06
6.0661973e+15  0.00741349925  1  2.09361315e-06
6.08195365e+15  0.00743275509  1  2.09361315e-06
6.09771001e+15  0.00745201093  1  2.09361315e-06
6.11346637e+15  0.00747126677  1  2.09361315e-06
6.12922272e+15  0.00749052262  1  2.09361315e-06
6.14497908e+15  0.00750977846  0.999999985  2.10106373e-06
6.16073544e+15  0.0075290343  0.999999985  2.10851431e-06
6.17649179e+15  0.00754829014  0.999999985  2.11596489e-06
6.19224815e+15  0.00756754598  1  2.11596489e-06
6.20800451e+15  0.00758680183  1  2.11596489e-06
6.22376086e+15  0.00760605767  1  2.11596489e-06
6.23951722e+15  0.00762531351  1  2.11596489e-06
6.25527358e+15  0.00764456935  0.999999985  2.12341547e-06
6.27102993e+15  0.0076638252  1  2.12341547e-06
6.28678629e+15  0.00768308104  0.999999985  2.13086605e-06
6.30254265e+15  0.00770233688  0.999999985  2.13831663e-06
6.318299e+15  0.00772159272  1  2.13831663e-06
6.33405536e+15  0.00774084856  1  2.13831663e-06
6.34981172e+15  0.00776010441  0.999999985  2.14576721e-06
6.36556807e+15  0.00777936025  0.999999985  2.15321779e-06
6.38132443e+15  0.00779861609  1  2.15321779e-06
6.39708079e+15  0.00781787193  0.999999985  2.16066837e-06
6.41283714e+15  0.00783712778  0.999999985  2.16811895e-06
6.4285935e+15  0.00785638362  1  2.16811895e-06
6.44434986e+15  0.00787563946  1  2.16811895e-06
6.46010621e+15  0.0078948953  1  2.16811895e-06
